Product,Unit_Number,Device_Manufacturer,Device,CT,Contract_Number,Business_Part,Contract_Type,Call_Base_Address,Call_Base_Postcode,Call_Base_Location,Call_Base_House_Number,Date_of_Obligation_Effort,Next_Maintenance,Year_of_Construction,Reference,Device_Condition,Expansion_Tank_Condition,Flue_Gas_Discharge_Condition,Air_Supply_Condition,Appendages_Condition,Maintenance_Frequency,Date_Maintenance_Performed,CallNumberPre,CallNumberExt,LogDate,STATUS,Location,PRODUCT,UnitNr,CallType,PlanDate,ContractNr,POSTCODE,HouseNr,Description,TechRemark,CALL_PREFIX,CALL_SUFFIX,FAULT_CODE,CREATE_DATE,Duration_From_Installation,Duration_CREATE_DATE,Event,Expansion_Tank_Condition_binned_medium,Expansion_Tank_Condition_binned_high,Expansion_Tank_Condition_time
REM000090260    ,0914906725830,REMEHA         ,REMEHA HRC AVANTA 28 C CW4                        ,Z345      ,E0018712    ,Z,ZAAM WONEN ALL IN 1X/ 2 JR OH ,DROSSAERT MERKELBACHSTRAAT 25           ,6171 KZ             ,STEIN LB                                ,0025      ,2023-06-29,OHKL,1970-01-01 00:00:00.000002009,BERGING,1.0,1.0,2.0,2.0,2.0,24M ,2023-06-29,5183131.0,1.0,2023-01-10,AFGESLOTEN,lo01010864,REM000090260    ,0914906725830            ,ST              ,2023-01-10,E0018712    ,6171 KZ             ,0025      ,GWW GCV STCODE E10 GEEN WATER IN CV THUISZORG GAAT,keuken en badkamer knop verwijderd. bewoner draaid,5183131.0,1.0,22181,2023-01-10,170,170,1,False,False,170.0
REM000090260    ,1206804093530,REMEHA         ,REMEHA HRC AVANTA 28 C CW4                        ,Z336      ,E0009557    ,Z,WONEN ZUID ALL-IN 1X/2JR OH   ,PRINS WILLEM ALEXANDERLAAN 35           ,6301 TR             ,VALKENBURG LB                           ,0035      ,2022-05-30,OHGO,1970-01-01 00:00:00.000002012,BERGING,1.0,1.0,1.0,1.0,1.0,24M ,2022-05-30,4484810.0,1.0,2018-03-18,AFGESLOTEN,lo00505182,REM000090260    ,1206804093530            ,OHKL            ,2018-06-15,E0009557    ,6301 TR             ,0035      , PM ONDERHOUD KLEIN                               ,tst is een remeha avanta zie foto                 ,4484810.0,1.0,12700,2018-06-15,1534,1445,1,False,False,1534.0
REM000000042    ,2478179772,REMEHA         ,REMEHA HRC AVANTA                                 ,Z304      ,E0009508    ,Z,ZCS+ WSTG.MEERSSEN 1X/2 JR OH ,MEIDOORNLAAN 18                         ,6241 BP             ,BUNDE                                   ,0018      ,2023-09-27,OHKL,1970-01-01 00:00:00.000002007,KELDERTRAP,1.0,1.0,1.0,1.0,1.0,24M ,2023-09-27,4771784.0,1.0,2020-03-13,AFGESLOTEN,lo00272943,REM000000042    ,2478179772               ,OHKL            ,2020-09-01,E0009508    ,6241 BP             ,0018      ,ONDERHOUD UITVOEREN/GEEN ZIEKEN                   ,klant spreekt slecht/geen NL                      ,4771784.0,1.0,12700,2020-09-01,1293,1121,1,False,False,1293.0
REM000090260    ,0831805723240,REMEHA         ,REMEHA HRC AVANTA 28 C CW4                        ,3100      ,50078603    ,P,COMFORT PLUS                  ,KEUBENKAMPHOF 14                        ,6049 LL             ,HERTEN                                  ,0014      ,2022-04-21,OHGO,1970-01-01 00:00:00.000002009,ZOLDER,1.0,1.0,2.0,4.0,2.0,24M ,2022-04-21,5051586.0,1.0,2022-01-18,AFGESLOTEN,lo00486965,REM000090260    ,0831805723240            ,OHKL            ,2022-04-21,50078603    ,6049 LL             ,0014      ,ONDERHOUD KLEIN                                   ,bewust geen uurtarief expvat verv.                ,5051586.0,1.0,20341,2022-04-21,93,0,1,False,False,93.0
REM000090260    ,201801010672,REMEHA         ,REMEHA HRC AVANTA 28 C CW4                        ,Z345      ,E0018712    ,Z,ZAAM WONEN ALL IN 1X/ 2 JR OH ,HEERSTRAAT-NOORD 73                     ,6171 CE             ,STEIN LB                                ,0073      ,2023-05-12,OHKL,1970-01-01 00:00:00.000002013,ZOLDER,3.0,1.0,1.0,1.0,2.0,24M ,2023-05-12,4906712.0,1.0,2021-01-17,AFGESLOTEN,lo01010629,REM000090260    ,201801010672             ,OHGO            ,2021-08-05,E0018712    ,6171 CE             ,0073      ,ONDERHOUD UITVOEREN                               ,na vervangen nieuw gasblok nog de metingen doen.  ,4906712.0,1.0,30500,2021-08-05,845,645,1,False,False,845.0
REM000090295    ,2002323197490,REMEHA         ,REMEHA HRC AVANTA 35 C CW5                        ,2100      ,50189707    ,P,COMFORT                       ,GOSELINGSTRAAT 10                       ,6129 HT             ,URMOND                                  ,0010      ,2023-10-03,OH,1970-01-01 00:00:00.000002020,ZOLDER,1.0,1.0,1.0,1.0,1.0,24M ,2023-10-03,5290194.0,1.0,2023-09-04,AFGESLOTEN,lo00084368,REM000090295    ,2002323197490            ,EB              ,2023-10-02,50189707    ,6129 HT             ,0010      ,"REMEHA AVANTA, BJ:2020, ZOLDER,VVV, VASTE TRAP,   ","uurloon niet doorberekenen naar klant, materiaal a",5290194.0,3.0,23500,2023-10-03,29,0,1,False,False,29.0
REM000090260    ,132700765726,REMEHA         ,REMEHA HRC AVANTA 28 C CW4                        ,Z336      ,E0013457    ,Z,WONEN ZUID ALL-IN 1X/2JR OH   ,PLEINSTRAAT 5                           ,6446 XD             ,BRUNSSUM                                ,0005      ,2022-06-09,OHKL,1970-01-01 00:00:00.000002013,ZOLDER,1.0,1.0,2.0,4.0,1.0,24M ,2022-06-09,5124893.0,1.0,2022-06-03,AFGESLOTEN,lo00463476,REM000090260    ,132700765726             ,OHGO            ,2022-06-09,E0013457    ,6446 XD             ,0005      ,"B ONDERHOUD GROOT, KLOPPEN WANT BEL DOET HET      ",vulslang geleverd                                 ,5124893.0,1.0,30500,2022-06-09,6,0,1,False,False,6.0
REM000090295    ,141360922900,REMEHA         ,REMEHA HRC AVANTA 35 C CW5                        ,2105      ,50154070    ,P,ESSENT STANDAARD              ,OP HET SCHOOR 1-A                       ,6041 AV             ,ROERMOND                                ,0001-A    ,2023-07-10,OHKL,1970-01-01 00:00:00.000002015,kelder,1.0,1.0,1.0,1.0,1.0,24M ,2023-07-10,5190804.0,1.0,2023-01-13,AFGESLOTEN,lo00384610,REM000090295    ,141360922900             ,OHGO            ,2023-07-10,50154070    ,6041 AV             ,0001-A    ,ONDERHOUD GROOT                                   ,rga in de gaten houden op ketel                   ,5190804.0,1.0,30500,2023-07-10,178,0,1,False,False,178.0
REM000090259    ,1912190303,REMEHA         ,REMEHA HRC AVANTA 24 C CW3                        ,Z328      ,E0008172    ,Z,VANHIER WONEN/1X 2 JR OH      ,TENELENWEG 35-A                         ,6367 VR             ,VOERENDAAL                              ,0035-A    ,2022-08-09,OHGO,1970-01-01 00:00:00.000002019,berging,1.0,1.0,2.0,2.0,2.0,24M ,2022-08-09,5026406.0,1.0,2022-01-10,AFGESLOTEN,lo00487573,REM000090259    ,1912190303               ,ST              ,2022-01-11,E0008172    ,6367 VR             ,0035-A    ,"KETEL MAAKT FLUITEND GELUID BIJ HET OPWARMEN, GEEN","geen geluid te horen, cv eerkt goed en rustig. bij",5026406.0,1.0,27400,2022-01-11,211,210,1,False,False,211.0
REM000090260    ,1032901186780,REMEHA         ,REMEHA HRC AVANTA 28 C CW4                        ,Z345      ,E0018712    ,Z,ZAAM WONEN ALL IN 1X/ 2 JR OH ,WINANDUSSTRAAT 19                       ,6181 NG             ,ELSLOO LB                               ,0019      ,2023-08-16,OHGO,1970-01-01 00:00:00.000002010,zolder,1.0,1.0,1.0,1.0,1.0,24M ,2023-08-16,4906783.0,1.0,2021-01-17,AFGESLOTEN,lo01011340,REM000090260    ,1032901186780            ,OHKLST          ,2021-02-11,E0018712    ,6181 NG             ,0019      ,"ONDERHOUD UITVOEREN + WISSELENDE TEMP WW, GEEN    ",waterleiding bevroren woningbouw pakt dit verder o,4906783.0,1.0,25502,2021-02-11,941,916,1,False,False,941.0
REM000090260    ,201801010800,REMEHA         ,REMEHA HRC AVANTA 28 C CW4                        ,Z345      ,E0018712    ,Z,ZAAM WONEN ALL IN 1X/ 2 JR OH ,DROSSAERT KAMPSSTRAAT 17                ,6171 JN             ,STEIN LB                                ,0017      ,2023-07-13,OHGO,1970-01-01 00:00:00.000002017,BERGING,1.0,1.0,1.0,1.0,1.0,24M ,2023-07-13,4751059.0,1.0,2020-03-15,AFGESLOTEN,lo00047500,REM000090260    ,201801010800             ,ST              ,2020-03-15,E0018712    ,6171 JN             ,0017      ,GCV RESET HELPT NIET BARDRUK NORMAAL              ,kabel breuk. kamerthermostaat aan/uit geplaatst.  ,4751059.0,1.0,17022,2020-03-15,1215,1215,1,False,False,1215.0
REM000090260    ,201801011729,REMEHA         ,REMEHA HRC AVANTA 28 C CW4                        ,Z345      ,E0018712    ,Z,ZAAM WONEN ALL IN 1X/ 2 JR OH ,DROSSAERT MERKELBACHSTRAAT 3            ,6171 KZ             ,STEIN LB                                ,0003      ,2023-06-26,OHGO,1970-01-01 00:00:00.000002008,BERGING,1.0,1.0,2.0,2.0,2.0,24M ,2023-06-26,5149822.0,2.0,2022-09-26,AFGESLOTEN,lo01010853,REM000090260    ,201801011729             ,ST              ,2022-09-27,E0018712    ,6171 KZ             ,0003      ,STORING ONTLUCHTINGSBLOK RETOUR VV                ,ontluchtingsblok aanvoer vv                       ,5149822.0,2.0,24700,2022-09-27,273,272,1,False,False,273.0
REM000090260    ,1015809225090,REMEHA         ,REMEHA HRC AVANTA 28 C CW4                        ,2100      ,50140320    ,P,COMFORT                       ,BAANDERT 8                              ,6136 ER             ,SITTARD                                 ,0008      ,2023-03-24,OHGO,1970-01-01 00:00:00.000002010,ZOLDER,1.0,1.0,4.0,2.0,2.0,24M ,2023-03-24,4879079.0,2.0,2021-02-05,AFGESLOTEN,lo00057974,REM000090260    ,1015809225090            ,OHMW            ,2021-02-08,50140320    ,6136 ER             ,0008      ,ONDERHOUD GROOT EN VV ISOLATIE VOORPLAAT EN       ,"spoed,noodreparatie gaslekkage!!                  ",4879079.0,3.0,30500,2021-02-10,777,772,1,False,False,777.0
REM000090260    ,1331708073580,REMEHA         ,REMEHA HRC AVANTA 28 C CW4                        ,2105      ,50161030    ,P,ESSENT STANDAARD              ,SINT JOZEFLAAN 18                       ,5817 AC             ,SMAKT                                   ,0018      ,2023-09-01,OHGO,1970-01-01 00:00:00.000002015,Woonkamer,1.0,1.0,2.0,2.0,2.0,24M ,2023-09-01,5190761.0,1.0,2023-01-13,AFGESLOTEN,lo00201855,REM000090260    ,1331708073580            ,OHGO            ,2023-09-01,50161030    ,5817 AC             ,0018      ,ONDERHOUD GROOT                                   ,"In 2021 is er een entreebeurt gedaan (groot oh), d",5190761.0,1.0,30400,2023-09-01,231,0,1,False,False,231.0
REM000090260    ,1317707049590,REMEHA         ,REMEHA HRC AVANTA 28 C CW4                        ,Z343      ,E0018707    ,Z,WSTG.MAASVALLEI  1X/2 JR OH   ,GOUVERNEUR HOUBENSTRAAT 2               ,6225 BW             ,MAASTRICHT                              ,0002      ,2023-08-14,OHKL,1970-01-01 00:00:00.000002013,ZOLDER,1.0,1.0,2.0,2.0,1.0,24M ,2023-08-14,4993533.0,1.0,2021-11-03,AFGESLOTEN,lo00503835,REM000090260    ,1317707049590            ,ST              ,2021-11-03,E0018707    ,6225 BW             ,0002      ,"DOORBRANDER, WEL WW.                              ",Kt is lerende                                     ,4993533.0,1.0,24700,2021-11-03,649,649,1,False,False,649.0
REM000090260    ,BDR7768357010000022233981,REMEHA         ,REMEHA HRC AVANTA 28 C CW4                        ,Z332      ,E0020136    ,Z,WELLER ALL-IN/1X 2 JR OH      ,DE LEUPER 53                            ,6451 JD             ,SCHINVELD                               ,0053      ,2023-05-22,OHGO,1970-01-01 00:00:00.000002020,ZOLDER,1.0,1.0,2.0,2.0,1.0,24M ,2023-05-22,5126630.0,1.0,2022-06-13,AFGESLOTEN,lo00477578,REM000090260    ,BDR7768357010000022233981,OHKL            ,2022-06-27,E0020136    ,6451 JD             ,0053      ,ONDERHOUD KLEIN                                   ,"warmtewisselaar krom, formulier ingevuld          ",5126630.0,1.0,21380,2022-06-27,343,329,1,False,False,343.0
REM000090259    ,0703002473770,REMEHA         ,REMEHA HRC AVANTA 24 C CW3                        ,2105      ,50146013    ,P,ESSENT STANDAARD              ,PASTOOR DOMINICUS HEXSTRAAT 148         ,6231 HG             ,MEERSSEN                                ,0148      ,2022-08-08,OHGO,1970-01-01 00:00:00.000002008,KELDERTRAP,1.0,1.0,2.0,4.0,1.0,24M ,2022-08-08,4892299.0,1.0,2021-01-25,AFGESLOTEN,lo00360184,REM000090259    ,0703002473770            ,ST              ,2021-02-01,50146013    ,6231 HG             ,0148      ,VUL EN AFTAPKRAAN BLIJFT LEKKEN. GEEN ZIEKEN.     ,ltv moet aangep.worden open toestel + overstort   ,4892299.0,1.0,21881,2021-02-01,560,553,1,False,False,560.0
REM000090260    ,1015809225090,REMEHA         ,REMEHA HRC AVANTA 28 C CW4                        ,2100      ,50140320    ,P,COMFORT                       ,BAANDERT 8                              ,6136 ER             ,SITTARD                                 ,0008      ,2023-03-24,OHGO,1970-01-01 00:00:00.000002010,ZOLDER,1.0,1.0,4.0,2.0,2.0,24M ,2023-03-24,4879079.0,2.0,2021-02-05,AFGESLOTEN,lo00057974,REM000090260    ,1015809225090            ,OHMW            ,2021-02-08,50140320    ,6136 ER             ,0008      ,ONDERHOUD GROOT EN VV ISOLATIE VOORPLAAT EN       ,"spoed,noodreparatie gaslekkage!!                  ",4879079.0,1.0,32100,2021-02-05,777,777,1,False,False,777.0
REM000090259    ,2478179507,REMEHA         ,REMEHA HRC AVANTA 24 C CW3                        ,Z304      ,E0009508    ,Z,ZCS+ WSTG.MEERSSEN 1X/2 JR OH ,GASTHUISPLANTSOEN 4                     ,6231 JZ             ,MEERSSEN                                ,0004      ,2022-04-01,OHKL,1970-01-01 00:00:00.000002008,BERGING,1.0,1.0,1.0,1.0,1.0,24M ,2022-04-01,5073505.0,1.0,2022-02-07,AFGESLOTEN,lo00360594,REM000090259    ,2478179507               ,OHGOST          ,2022-04-01,E0009508    ,6231 JZ             ,0004      ,OHGO + ST. RADIATOR BADKAMER WORD NIET WARM. IS   ,veiligheidssensor niet monteerbaar door LTV       ,5073505.0,1.0,14451,2022-04-01,53,0,1,False,False,53.0
REM000090260    ,0903506095270,REMEHA         ,REMEHA HRC AVANTA 28 C CW4                        ,2100      ,50089457    ,P,COMFORT                       ,REENSTRAAT 4                            ,6369 SJ             ,SIMPELVELD                              ,0004      ,2022-06-16,OHKL,1970-01-01 00:00:00.000002009,ZOLDER,1.0,1.0,1.0,2.0,2.0,24M ,2022-06-16,4434877.0,1.0,2017-11-05,AFGESLOTEN,lo00407949,REM000090260    ,0903506095270            ,OHGO            ,2018-01-09,50089457    ,6369 SJ             ,0004      ,FT VOOR 12:00 KLAAR ONDERHOUD GROOT               ,geen werktijd berekenen voor tapkraan             ,4434877.0,1.0,12700,2018-01-09,1684,1619,1,False,False,1684.0
REM000090260    ,0713402968940,REMEHA         ,REMEHA HRC AVANTA 28 C CW4                        ,1200      ,50114207    ,P,BASIS 24 M                    ,ANDERSONWEG 25                          ,6041 JE             ,ROERMOND                                ,0025      ,2023-10-02,OHGO,1970-01-01 00:00:00.000002013,BIJKEUKEN,3.0,1.0,1.0,1.0,2.0,24M ,2023-10-02,5200253.0,1.0,2023-01-13,AFGESLOTEN,lo00387232,REM000090260    ,0713402968940            ,OHKL            ,2023-10-02,50114207    ,6041 JE             ,0025      ,ONDERHOUD KLEIN VVV                               ,temperatuur max 50 graden. teveel water uit de kra,5200253.0,1.0,12700,2023-10-02,262,0,1,False,False,262.0
REM000090260    ,0927107353490,REMEHA         ,REMEHA HRC AVANTA 28 C CW4                        ,3100      ,50077077    ,P,COMFORT PLUS                  ,BERNHARDSTRAAT 23                       ,6129 AM             ,URMOND                                  ,0023      ,2021-11-30,OHKL,1970-01-01 00:00:00.000002009,BIJKEUKEN,3.0,1.0,2.0,2.0,2.0,24M ,2021-11-30,4879062.0,1.0,2021-01-09,AFGESLOTEN,lo00435656,REM000090260    ,0927107353490            ,OHGO            ,2021-11-25,50077077    ,6129 AM             ,0023      ,"ONDERHOUD UITVOEREN, GEEN ZIEKEN, VVV             ",leidingset bestel                                 ,4879062.0,2.0,20132,2021-11-30,325,0,1,False,False,325.0
REM000090260    ,133520837417,REMEHA         ,REMEHA HRC AVANTA 28 C CW4                        ,3200      ,50098664    ,P,COMFORT ALL-IN                ,ZONNESTRAAT 6                           ,6446 TE             ,BRUNSSUM                                ,0006      ,2022-06-23,OHGO,1970-01-01 00:00:00.000002014,BIJKEUKEN,1.0,1.0,2.0,2.0,1.0,24M ,2022-06-23,4754224.0,1.0,2020-03-13,AFGESLOTEN,lo00463384,REM000090260    ,133520837417             ,OHGO            ,2020-06-09,50098664    ,6446 TE             ,0006      ,ONDERHOUD UITVOEREN                               ,enexix komt binnen 2 uur ivm te hoge voordruk     ,4754224.0,1.0,30500,2020-06-09,832,744,1,False,False,832.0
REM000090260    ,1035001344910,REMEHA         ,REMEHA HRC AVANTA 28 C CW4                        ,Z345      ,E0018712    ,Z,ZAAM WONEN ALL IN 1X/ 2 JR OH ,DIRGELEN 24                             ,6171 DE             ,STEIN LB                                ,0024      ,2023-06-16,OHKL,1970-01-01 00:00:00.000002010,CV RUIMTE 1E VERDIEPING,1.0,1.0,2.0,4.0,2.0,24M ,2023-06-16,5228213.0,1.0,2023-02-02,AFGESLOTEN,lo00424310,REM000090260    ,1035001344910            ,OHGO            ,2023-06-16,E0018712    ,6171 DE             ,0024      ,ONDERHOUD GROOT                                   ,"keramische voorplaat viel uit elkaar, uitgebreid o",5228213.0,1.0,21351,2023-06-16,134,0,1,False,False,134.0
REM000090260    ,1035101364610,REMEHA         ,REMEHA HRC AVANTA 28 C CW4                        ,Z345      ,E0018712    ,Z,ZAAM WONEN ALL IN 1X/ 2 JR OH ,JAN VERMEERSTRAAT 6                     ,6181 AW             ,ELSLOO LB                               ,0006      ,2023-06-27,OHKL,1970-01-01 00:00:00.000002010,ZOLDER,1.0,1.0,2.0,2.0,2.0,24M ,2023-06-27,4906780.0,1.0,2021-01-17,AFGESLOTEN,lo01011140,REM000090260    ,1035101364610            ,OHKL            ,2021-09-07,E0018712    ,6181 AW             ,0006      ,"ONDERHOUD UITVOEREN, VVV. CORONA REGELS BEKEND    ",moeilijk erbij te komen overal spullen en houten p,4906780.0,1.0,17022,2021-09-07,891,658,1,False,False,891.0
REM000090260    ,0903506095270,REMEHA         ,REMEHA HRC AVANTA 28 C CW4                        ,2100      ,50089457    ,P,COMFORT                       ,REENSTRAAT 4                            ,6369 SJ             ,SIMPELVELD                              ,0004      ,2022-06-16,OHKL,1970-01-01 00:00:00.000002009,ZOLDER,1.0,1.0,1.0,2.0,2.0,24M ,2022-06-16,4434877.0,1.0,2017-11-05,AFGESLOTEN,lo00407949,REM000090260    ,0903506095270            ,OHGO            ,2018-01-09,50089457    ,6369 SJ             ,0004      ,FT VOOR 12:00 KLAAR ONDERHOUD GROOT               ,geen werktijd berekenen voor tapkraan             ,4434877.0,1.0,24700,2018-01-09,1684,1619,1,False,False,1684.0
REM000090260    ,1502610828250,REMEHA         ,REMEHA HRC AVANTA 28 C CW4                        ,2100      ,50159229    ,P,COMFORT                       ,HUURVAARDERSTRAAT 20                    ,6043 SR             ,ROERMOND                                ,0020      ,2023-07-27,OHGO,1970-01-01 00:00:00.000002015,ZOLDER,1.0,1.0,1.0,1.0,2.0,24M ,2023-07-27,5191094.0,1.0,2023-01-13,AFGESLOTEN,lo90009256,REM000090260    ,1502610828250            ,OHGO            ,2023-07-27,50159229    ,6043 SR             ,0020      ,ONDERHOUD GROOT                                   ,ohkl ivm ohgo in 2021                             ,5191094.0,1.0,24700,2023-07-27,195,0,1,False,False,195.0
